reviewerID,asin,overall
AJMBX04BZWPSD,B0000SX3BK,1
AJMBX04BZWPSD,B0000SX3BK,1
AGZ8HQO485IL8,B0000SX3BK,3
AGZ8HQO485IL8,B0000SX3BK,3
A38V5H082VI1H4,B0000SX3BK,4
A38V5H082VI1H4,B0000SX3BK,4
A33QBNPW2Q37A6,B0000SX3BK,5
A33QBNPW2Q37A6,B0000SX3BK,5
ANHI6YKY6B30X,B0000SX3BK,4
ANHI6YKY6B30X,B0000SX3BK,4
A5JLAU2ARJ0BO,B0000SX3BK,5
A5JLAU2ARJ0BO,B0000SX3BK,5
A1KD8NJPZ01R37,B0000SX3BK,4
A1KD8NJPZ01R37,B0000SX3BK,4
A3R1KV2ZWGON7J,B0000SX3BK,4
A3R1KV2ZWGON7J,B0000SX3BK,4
A1M7JNSCQXEJ26,B0006852GS,1
A2HAAWCQGDDAK4,B0006852GS,5
AOE854RKJ3OE0,B0006852GS,1
A1CPRP3VFJRS1R,B0006852GS,3
A3OZMCS38PRD63,B0006852GS,5
A1FML2Z3CAXJBC,B0006852GS,1
AVLDQY3JWB6HU,B0008F6QE6,4
A30Z0RCM2PV86I,B0008F6QE6,3
AJMBX04BZWPSD,B0008F6QE6,1
AU1SKSAF00JJH,B0008F6QE6,2
A1US87X5YUEQ7A,B0008F6QE6,4
A14EF1PPKMSEPU,B0008F6QE6,5
A18YK0PNZV50XS,B0008F6QE6,4
A3S81UFJPP02F5,B0008F6QE6,5
AMHSC9CJ6K6QQ,B0008F6QE6,5
A1AUPIH2GFSQBO,B000982UY2,3
A2MCY4H0KQ4MRW,B000982UY2,3
A2U10NDGICWYKI,B000982UY2,5
A3GZHI2Y4HNJMD,B000982UY2,5
A3977M5S0GIG5H,B000982UY2,5
A1GPGBHBI6T2HJ,B000982UY2,5
A1CYTBE7LLUQ8F,B000982UY2,5
A24RT6AVJXJZHF,B000982UY2,4
A1ULPGDCSX8XUH,B000982UY2,4
A2M67NF929W1HE,B000982UY2,2
