reviewerID,asin,overall
ASK11J3ZXE42J,B0016JDBYG,2
A39Y702EFQOVNG,B0016JDBYG,5
AHIY1S8OE0JAE,B0016JDBYG,3
ASK11J3ZXE42J,B0016JDBYG,2
A39Y702EFQOVNG,B0016JDBYG,5
AHIY1S8OE0JAE,B0016JDBYG,3
ASK11J3ZXE42J,B0016JDE34,2
AHIY1S8OE0JAE,B0016JDE34,3
A2R3PDZ4K3P2AG,B0016JDE34,4
ASK11J3ZXE42J,B0016JDE34,2
AHIY1S8OE0JAE,B0016JDE34,3
A2R3PDZ4K3P2AG,B0016JDE34,4
A3372ZE79SSIHP,B001F7VN6M,5
ASR6B1JIJFD31,B001F7VN6M,4
A2EMA184DPM05,B001F7VN6M,5
A3RX60UT05SL7M,B001F7VN6M,5
ATWDCYVND935I,B001F7VN6M,5
A2J8ZDQOMRGEQ9,B001F7VN6M,5
A5VPJMDSJW7FD,B001F7VN6M,2
A1134GV44SWB4N,B001F7VN6M,5
A1JSOVO9F0BG4Y,B001F7VN6M,5
AA46TP3T0MVB,B001F7VN6M,2
A10OJXPDFE0GOK,B001F7VN6M,5
A1D9DNXBQDNGL2,B001F7VN6M,5
A25VMW6X1MUN14,B001F7VN6M,5
A16J2L207DI5WU,B001F7VN6M,1
A1L08O60MXPCYA,B001F7VN6M,5
AIH05X9KBQWX4,B001F7VN6M,1
A3IG1R5IOVHFXR,B001OD2OAQ,5
ABDQ0DVCL2CMO,B001OD2OAQ,5
ALUNW3EXCLZLB,B001OD2OAQ,5
AG0G4FS4SB5OX,B001OD2OAQ,5
A2EMA184DPM05,B001OD2OAQ,5
A3FEE03P1LZC76,B001OD2OAQ,3
AS7621XF5BW0T,B001OD2OAQ,5
A38FWEVG17KN0Z,B001OD2OAQ,5
A1KOZHN3ON5PGG,B001OD2OAQ,5
AW80F6GE4YUIS,B001OD2OAQ,4
A2KJX3K63I3K0U,B001OD2OAQ,5
A2KKXX9VC0ZQMJ,B001OD2OAQ,5
A2M79BUIOECBAS,B001OD2OAQ,5
AH6N2RO91843L,B001OD2OAQ,4
A1MII57V54764P,B001OD2OAQ,3
A2RMXBH8EGLUR0,B001OD2OAQ,5
A1O6OGNV2D57PA,B001UBB9GM,5
A1V1SG67P2DB0M,B001UBB9GM,5
A3LB5474SNTLSO,B001UBB9GM,5
A1Z0NQAZWJ3YKP,B001UBB9GM,5
AH6N2RO91843L,B001UBB9GM,5
A398X00E4KYZIY,B001UBB9GM,1
A25FDSTIHHAFKX,B001UBB9GM,1
A16J2L207DI5WU,B001UBB9GM,1
A1601RU0RU6L9N,B001V7RK8G,5
AX4PXKR06TGLP,B001V7RK8G,5
A3KZA7WUKMZANR,B001V7RK8G,3
A1OPF36QBFB3XK,B001V7RK8G,5
A2R3PDZ4K3P2AG,B001V7RK8G,5
A2M3CUDYRKM9CV,B001V7RK8G,5
A3FTBS8ZM6EPRK,B002KQLUVU,5
A2XAQRHCBM4NK4,B002KQLUVU,3
A1CLYC5TACQQQP,B002KQLUVU,5
AG0G4FS4SB5OX,B002KQLUVU,5
A2EMA184DPM05,B002KQLUVU,5
A1HKAWLLYAPMO7,B002KQLUVU,5
AXKTC9FEVLY0W,B002KQLUVU,5
A3Q03O4Q8GKT8G,B002KQLUVU,5
A1RF31CYOKXIWM,B002KQLUVU,5
A1WHB9H1AIF947,B002KQLUVU,5
A38FWEVG17KN0Z,B002KQLUVU,5
A2WDCDHR49DP06,B002KQLUVU,5
A36IO02PJAU26B,B002KQLUVU,4
ATWDCYVND935I,B002KQLUVU,5
ATWDCYVND935I,B002KQLUVU,5
A3RXQQWRXUAF8B,B002KQLUVU,5
A3LB5474SNTLSO,B002KQLUVU,5
A5QQ5OC488CB7,B002KQLUVU,5
A1134GV44SWB4N,B002KQLUVU,5
AW80F6GE4YUIS,B002KQLUVU,3
A3LCGB8BMZVRJL,B002KQLUVU,5
A11YHIDRYHFF4H,B002KQLUVU,4
A2KJX3K63I3K0U,B002KQLUVU,5
ABIWW6V0V01L6,B002KQLUVU,5
A28UBYNJRKU4D6,B002KQLUVU,4
A1L08O60MXPCYA,B002KQLUVU,5
AHIY1S8OE0JAE,B002KQLUVU,3
A1MII57V54764P,B002KQLUVU,1
A2JBWGFRJ05Z8D,B002KQLUVU,3
A242ADDCE3YB3U,B002KQLUVU,5
A1OPF36QBFB3XK,B002KQLUVU,5
A908CRZDXABQ,B002KQLUVU,1
A2RMXBH8EGLUR0,B0034THXTK,3
AYDLETEYQFTDE,B0034THXTK,5
ASR6B1JIJFD31,B0034THXTK,4
A19OR219RUYPHM,B0034THXTK,5
AH6XZ1BCXY4I6,B0034THXTK,5
A3Q03O4Q8GKT8G,B0034THXTK,5
A3R0BEBXJB58VL,B0034THXTK,5
